,results_name,ranking_name,match_type,최종_매핑명
122,Liechtenstein,Liechtenstein,자동 (정확 일치),Liechtenstein
123,Lithuania,Lithuania,자동 (정확 일치),Lithuania
124,Luxembourg,Luxembourg,자동 (정확 일치),Luxembourg
125,Macau,Macau,자동 (정확 일치),Macau
126,Madagascar,Madagascar,자동 (정확 일치),Madagascar
127,Malawi,Malawi,자동 (정확 일치),Malawi
128,Malaysia,Malaysia,자동 (정확 일치),Malaysia
129,Maldives,Maldives,자동 (정확 일치),Maldives
130,Mali,Mali,자동 (정확 일치),Mali
131,Malta,Malta,자동 (정확 일치),Malta
132,Mauritania,Mauritania,자동 (정확 일치),Mauritania
133,Mauritius,Mauritius,자동 (정확 일치),Mauritius
134,Mexico,Mexico,자동 (정확 일치),Mexico
135,Moldova,Moldova,자동 (정확 일치),Moldova
136,Mongolia,Mongolia,자동 (정확 일치),Mongolia
137,Montenegro,Montenegro,자동 (정확 일치),Montenegro
138,Montserrat,Montserrat,자동 (정확 일치),Montserrat
139,Morocco,Morocco,자동 (정확 일치),Morocco
140,Mozambique,Mozambique,자동 (정확 일치),Mozambique
141,Myanmar,Myanmar,자동 (정확 일치),Myanmar
142,Namibia,Namibia,자동 (정확 일치),Namibia
143,Nepal,Nepal,자동 (정확 일치),Nepal
144,Netherlands,Netherlands,자동 (정확 일치),Netherlands
145,New Caledonia,New Caledonia,자동 (정확 일치),New Caledonia
146,New Zealand,New Zealand,자동 (정확 일치),New Zealand
147,Nicaragua,Nicaragua,자동 (정확 일치),Nicaragua
148,Niger,Niger,자동 (정확 일치),Niger
149,Nigeria,Nigeria,자동 (정확 일치),Nigeria
150,North Macedonia,North Macedonia,자동 (정확 일치),North Macedonia
151,Northern Ireland,Northern Ireland,자동 (정확 일치),Northern Ireland
152,Norway,Norway,자동 (정확 일치),Norway
153,Oman,Oman,자동 (정확 일치),Oman
154,Pakistan,Pakistan,자동 (정확 일치),Pakistan
155,Palestine,Palestine,자동 (정확 일치),Palestine
156,Panama,Panama,자동 (정확 일치),Panama
157,Papua New Guinea,Papua New Guinea,자동 (정확 일치),Papua New Guinea
158,Paraguay,Paraguay,자동 (정확 일치),Paraguay
159,Peru,Peru,자동 (정확 일치),Peru
160,Philippines,Philippines,자동 (정확 일치),Philippines
161,Poland,Poland,자동 (정확 일치),Poland
162,Portugal,Portugal,자동 (정확 일치),Portugal
163,Puerto Rico,Puerto Rico,자동 (정확 일치),Puerto Rico
164,Qatar,Qatar,자동 (정확 일치),Qatar
165,Republic of Ireland,Republic of Ireland,자동 (정확 일치),Republic of Ireland
166,Romania,Romania,자동 (정확 일치),Romania
167,Russia,Russia,자동 (정확 일치),Russia
168,Rwanda,Rwanda,자동 (정확 일치),Rwanda
169,Samoa,Samoa,자동 (정확 일치),Samoa
170,San Marino,San Marino,자동 (정확 일치),San Marino
171,Saudi Arabia,Saudi Arabia,자동 (정확 일치),Saudi Arabia
172,Scotland,Scotland,자동 (정확 일치),Scotland
173,Senegal,Senegal,자동 (정확 일치),Senegal
174,Serbia,Serbia,자동 (정확 일치),Serbia
175,Seychelles,Seychelles,자동 (정확 일치),Seychelles
176,Sierra Leone,Sierra Leone,자동 (정확 일치),Sierra Leone
177,Singapore,Singapore,자동 (정확 일치),Singapore
178,Slovakia,Slovakia,자동 (정확 일치),Slovakia
179,Slovenia,Slovenia,자동 (정확 일치),Slovenia
180,Solomon Islands,Solomon Islands,자동 (정확 일치),Solomon Islands
181,Somalia,Somalia,자동 (정확 일치),Somalia
182,South Africa,South Africa,자동 (정확 일치),South Africa
183,South Sudan,South Sudan,자동 (정확 일치),South Sudan
184,Spain,Spain,자동 (정확 일치),Spain
185,Sri Lanka,Sri Lanka,자동 (정확 일치),Sri Lanka
186,Sudan,Sudan,자동 (정확 일치),Sudan
187,Suriname,Suriname,자동 (정확 일치),Suriname
188,Sweden,Sweden,자동 (정확 일치),Sweden
189,Switzerland,Switzerland,자동 (정확 일치),Switzerland
190,Syria,Syria,자동 (정확 일치),Syria
191,São Tomé and Príncipe,São Tomé and Príncipe,자동 (정확 일치),São Tomé and Príncipe
192,Tahiti,Tahiti,자동 (정확 일치),Tahiti
193,Tajikistan,Tajikistan,자동 (정확 일치),Tajikistan
194,Tanzania,Tanzania,자동 (정확 일치),Tanzania
195,Thailand,Thailand,자동 (정확 일치),Thailand
196,Timor-Leste,Timor-Leste,자동 (정확 일치),Timor-Leste
197,Togo,Togo,자동 (정확 일치),Togo
198,Tonga,Tonga,자동 (정확 일치),Tonga
199,Trinidad and Tobago,Trinidad and Tobago,자동 (정확 일치),Trinidad and Tobago
200,Tunisia,Tunisia,자동 (정확 일치),Tunisia
201,Turkey,Turkey,자동 (정확 일치),Turkey
202,Turkmenistan,Turkmenistan,자동 (정확 일치),Turkmenistan
203,Turks and Caicos Islands,Turks and Caicos Islands,자동 (정확 일치),Turks and Caicos Islands
204,Uganda,Uganda,자동 (정확 일치),Uganda
205,Ukraine,Ukraine,자동 (정확 일치),Ukraine
